repoName,title,url,lockReason,labels
redis/redis-om-python,"`datetime` fields are indexed as `TAG`, sortable queries fail silently",https://github.com/redis/redis-om-python/issues/467,,['bug']
litestar-org/litestar,"Tests: AssertionError: assert datetime.date(2023, 8, 30) == datetime.date(2023, 8, 31)",https://github.com/litestar-org/litestar/issues/2293,,"['Bug :bug:', 'tests-issue']"
monosidev/monosi,Inconsistent usage of UTC & local timezones for timestamps,https://github.com/monosidev/monosi/issues/136,,"['bug', 'good first issue', 'python']"
temporalio/sdk-python,[Bug] Fix explanation of Pydantic datetime issue,https://github.com/temporalio/sdk-python/issues/496,,['bug']
ietf-tools/datatracker,Upcoming meeting ics includes unused time zone data when filters applied,https://github.com/ietf-tools/datatracker/issues/4821,,"['bug', 'medium', 'accepted', 'component: meeting/']"
ietf-tools/datatracker,datatracker shows times in PDT: use UTC instead,https://github.com/ietf-tools/datatracker/issues/6490,,"['bug', 'medium', 'accepted', 'component: submit/']"
ietf-tools/datatracker,utc_from_string() method replicates Python library code,https://github.com/ietf-tools/datatracker/issues/4388,,"['bug', 'minor', 'accepted', 'component: ipr/']"
ietf-tools/datatracker,Interim view calls ajax_get_utc() with empty timezone,https://github.com/ietf-tools/datatracker/issues/4884,,"['bug', 'medium', 'accepted', 'component: meeting/']"
ietf-tools/datatracker,Unexpected results from model_to_timeline_data() after midnight UTC,https://github.com/ietf-tools/datatracker/issues/4758,,"['bug', 'medium', 'accepted', 'component: doc/']"
python-humanize/humanize,naturaldate() gives the wrong answer for tz-aware datetimes,https://github.com/python-humanize/humanize/issues/152,,[]
Altinity/clickhouse-sink-connector,Connection to MySQL can fail if the server time zone is not recognized by the JDBC driver,https://github.com/Altinity/clickhouse-sink-connector/issues/331,,['bug']
Altinity/clickhouse-sink-connector,Loss of milliseconds in datetime(6) and time(6) replication from MySQL to ClickHouse,https://github.com/Altinity/clickhouse-sink-connector/issues/8,,['bug']
mage-ai/mage-ai,[BUG] IndexError on OracleDB yaml data exporter when key column or only datetime as column type is assigned,https://github.com/mage-ai/mage-ai/issues/4587,,['bug']
mage-ai/mage-ai,Geopandas : Loading value from Postgis return a Shapefile error related to Datetime field,https://github.com/mage-ai/mage-ai/issues/4054,,['bug']
grafana/oncall,refer to UTC instead of GMT,https://github.com/grafana/oncall/issues/2689,,"['bug', 'more info needed', 'needs triage']"
grafana/oncall,[API] Oncall daily shifts on timezones != UTC don't work,https://github.com/grafana/oncall/issues/4197,,"['bug', 'part:schedules', 'needs triage']"
jowilf/starlette-admin,"DateTime does not display in browser's timezone, but instead in server timezone, without making that clear",https://github.com/jowilf/starlette-admin/issues/288,,['bug']
ultralytics/ultralytics,partially initialized module 'pandas' has no attribute '_pandas_datetime_CAPI' (most likely due to a circular import),https://github.com/ultralytics/ultralytics/issues/12980,,"['bug', 'Stale']"
keephq/keep,"bug: if lastRec is not in utc than ""self assign"" doesn't work",https://github.com/keephq/keep/issues/1053,,[]
tconbeer/harlequin,Harlequin can crash when loading the datetime `1-1-1`,https://github.com/tconbeer/harlequin/issues/568,,['bug']
