repoName,id,title,url_x,lockReason,timelineCount,labels,fixUrl,fixUrlCount,tf_idf,size,nameWithOwner,owner,name,url_y,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount
kuzmoyev/google-calendar-simple-api,I_kwDOBPMs2855JdGM,Add Timezone docs,https://github.com/kuzmoyev/google-calendar-simple-api/issues/175,,3,[],https://github.com/kuzmoyev/google-calendar-simple-api/commit/001ae2164a5e8935b2373e52dfdbb33c34a51a2e,2,1.9825861652434145,19.0,kuzmoyev/google-calendar-simple-api,kuzmoyev,google-calendar-simple-api,https://github.com/kuzmoyev/google-calendar-simple-api,Pythonic wrapper for the Google Calendar API,520,Python,2024-06-12T17:36:48Z,2017-02-24T13:46:45Z,113,42,10,21
vallettea/koala,MDU6SXNzdWU0Mzg2ODIzNjY=,yearfrac leap years,https://github.com/vallettea/koala/issues/202,,1,[],https://github.com/vallettea/koala/pull/209,1,1.8759773273198543,212.0,vallettea/koala,vallettea,koala,https://github.com/vallettea/koala,Transpose your Excel calculations into python for better performances and scaling. ,141,Python,2024-06-11T11:30:08Z,2016-04-11T12:09:07Z,125,60,16,0
vallettea/koala,MDU6SXNzdWU0Mzg2ODIzNjY=,yearfrac leap years,https://github.com/vallettea/koala/issues/202,,2,[],https://github.com/vallettea/koala/pull/209,2,1.8759773273198543,212.0,vallettea/koala,vallettea,koala,https://github.com/vallettea/koala,Transpose your Excel calculations into python for better performances and scaling. ,141,Python,2024-06-11T11:30:08Z,2016-04-11T12:09:07Z,125,60,16,0
electricitymaps/electricitymaps-contrib,MDU6SXNzdWUyMjQwNzE1NDY=,Add arrow navigation,https://github.com/electricitymaps/electricitymaps-contrib/issues/499,,3,['frontend 🎨'],https://github.com/electricitymaps/electricitymaps-contrib/pull/958,2,1.846126496100314,22.0,electricitymaps/electricitymaps-contrib,electricitymaps,electricitymaps-contrib,https://github.com/electricitymaps/electricitymaps-contrib,A real-time visualisation of the CO2 emissions of electricity consumption,3342,Python,2024-06-13T12:25:04Z,2016-05-21T16:36:17Z,2669,904,77,153
Visualistic-Studios/Media-Manager,I_kwDOGqBcUM5G4Jmt,Encrypt Default Timezone / UTC_Timezones,https://github.com/Visualistic-Studios/Media-Manager/issues/39,,7,['completed'],https://github.com/Visualistic-Studios/Media-Manager/commit/8289fe76a8cb1c60c64546470d1a1d177d044e80,1,1.8430112864481696,192.0,Visualistic-Studios/Media-Manager,Visualistic-Studios,Media-Manager,https://github.com/Visualistic-Studios/Media-Manager,Management Platform for Social Media Post Scheduling & Analytics written in Python. Designed to be highly configurable and extendable.,123,Python,2024-06-09T20:03:28Z,2022-01-11T07:19:06Z,82,24,12,2
karlicoss/cachew,MDU6SXNzdWU1NDU0MTgzODU=,better pytz support?,https://github.com/karlicoss/cachew/issues/6,,7,['prio-C'],https://github.com/karlicoss/cachew/commit/516b4d81666a816dca2ac6cfd3d84257db569c49,3,1.8234762754641447,22.0,karlicoss/cachew,karlicoss,cachew,https://github.com/karlicoss/cachew,Transparent and persistent cache/serialization powered by type hints,208,Python,2024-06-02T22:24:18Z,2019-07-27T07:11:05Z,13,6,4,0
ibis-project/ibis,MDU6SXNzdWUyNzk4OTQwMDM=,Deprecate timedelta API in favor of intervals,https://github.com/ibis-project/ibis/issues/1249,,4,['ux'],https://github.com/ibis-project/ibis/pull/1292,2,1.725472749607304,47.0,ibis-project/ibis,ibis-project,ibis,https://github.com/ibis-project/ibis,the portable Python dataframe library,4407,Python,2024-06-13T14:31:20Z,2015-04-17T20:43:46Z,2887,543,81,159
mblayman/homeschool,MDU6SXNzdWU1NTUxNjcxNDY=,Course days of week,https://github.com/mblayman/homeschool/issues/20,,1,[],https://github.com/mblayman/homeschool/commit/c50cc31ab025c62d7e233d60939301687d186112,1,1.7094506671140508,21.0,mblayman/homeschool,mblayman,homeschool,https://github.com/mblayman/homeschool,An app for homeschool planning,223,Python,2024-06-10T17:39:40Z,2019-11-05T03:10:35Z,402,59,15,0
Granulate/gprofiler,I_kwDOFGX3S85WP2y9,Write local logs with UTC timestamps,https://github.com/Granulate/gprofiler/issues/595,,4,['enhancement'],https://github.com/Granulate/gprofiler/pull/606,2,1.6939166966920354,38.0,Granulate/gprofiler,Granulate,gprofiler,https://github.com/Granulate/gprofiler,"gProfiler is a system-wide profiler, combining multiple sampling profilers to produce unified visualization of what your CPU is spending time on.",737,Python,2024-05-31T11:37:03Z,2021-02-25T11:47:02Z,189,53,18,0
tapaswenipathak/Horoscope-API,MDU6SXNzdWUxMzM0Mjc5NDI=,"week, month, year horoscope still not working",https://github.com/tapaswenipathak/Horoscope-API/issues/7,,1,[],https://github.com/tapaswenipathak/Horoscope-API/commit/c6058cfca181d50a40ab00c0c79ca896e97bc6ce,1,1.655269147836237,47.0,tapaswenipathak/Horoscope-API,tapaswenipathak,Horoscope-API,https://github.com/tapaswenipathak/Horoscope-API,API to get horoscope and other related information.,194,Python,2024-05-16T05:01:35Z,2014-08-28T01:45:23Z,50,61,20,0
