Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
huggingface,huggingface_hub,`test_from_raw_initialization` seems to be missing daylight savings?,1790.0,0.6354657674,4311.0,1.0,0.0,0.0,,Timezone,DST,Timezone Conversions,String Parsing/Formatting (data),Datetime Construction,1.0,2.0,1.0,1.0,,Crossing DST boundaries,,
googleapis,python-ndb,Auto-add and naive datetimes not offsetting timezone correctly,147.0,0.6344238618,6016.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,Timezone Conversions,,1.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
PrefectHQ,prefect,Timezone Union Schedule Test Fails,15193.0,0.6277091604,3157.0,1.0,0.0,1.0,,Timezone,,Datetime Arithmetic,Datetime Equality,,3.0,1.0,2.0,2.0,INTERESTING,Unintuitive Arithmetic,,
chimpler,pyhocon,parsing of list of durations doesn't work,492.0,0.62164858,1250.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (humanized),Delta Construction,,1.0,2.0,3.0,3.0,Honestly I cant figure out what the fix does. Could be marked as a FP.,TODO,,
pydantic,pydantic,v2 TZInfo is not understood by pandas,19350.0,0.6182634619,3823.0,1.0,0.0,0.0,,Timezone,,Datetime Equality,Querying Datetime Components,,1.0,2.0,2.0,1.0,,Comparing Timezones,,
agronholm,apscheduler,"IntervalTrigger unnecessarily expects integers, when datetime.timedelta accepts floats",5869.0,0.6164578013,1584.0,1.0,0.0,0.0,,Duration,,Delta Construction,,,1.0,1.0,1.0,1.0,"something expects integers, but datetime also allows floats",Adding Support for New Features,,
scrapinghub,dateparser,Tests fail on 31st of a month,2480.0,0.6148361494,1213.0,1.0,0.0,0.0,,Date,,Datetime Construction,Replacing/Rounding Datetime Components,,1.0,1.0,1.0,1.0,Stupid but valid bug,Unintuitive Arithmetic,,
agronholm,apscheduler,[v4.0.0a4] Combining daily and weekly triggers increments by 14 days,5869.0,0.6143886301,7263.0,1.0,0.0,0.0,,Date,Duration,Datetime Arithmetic,Delta Construction,Datetime Equality,2.0,2.0,1.0,1.0,,Unintuitive Arithmetic,,
sqlalchemy,sqlalchemy,postgresql range tests might have a time-oriented race condition... seems like a transient DST issue,9045.0,0.6120064634,4295.0,1.0,0.0,0.0,,DST,Timezone,Datetime Construction,Timezone Conversions,,3.0,1.0,2.0,2.0,,Unintuitive Arithmetic,,
qutebrowser,qutebrowser,New completion and timezone issues,9434.0,0.6101371888,3965.0,1.0,0.0,0.0,,Deprecated,,Timestamp/Hash Construction,String Parsing/Formatting (data),Datetime Construction,2.0,2.0,4.0,2.0,"problems with parsing and utcnow() giving naive objects, so they did a huge fix and refactored their entire repo",Outdated/Deprecated APIs,,
sdispater,pendulum,duration months cannot be added to other durations,6109.0,0.6080746729,1357.0,1.0,0.0,1.0,,,,,,,,,,,,,,
hyperledger,aries-cloudagent-python,[BUG] Improper Use of TimeZone-Naive datetime.utcnow(),399.0,0.5979026499,6961.0,1.0,0.0,0.0,,Timezone,Timestamps,Datetime Construction,,,1.0,2.0,1.0,1.0,,Outdated/Deprecated APIs,Using Naïve Datetime Incorrectly,
GadgetReactor,pyHS100,Set timezone functionality,406.0,0.5967350099,13142.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,2.0,1.0,,Using Naïve Datetime Incorrectly,,
raiden-network,raiden,Remove naive datetime usage,1841.0,0.5954214629,2249.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,2.0,1.0,1.0,1.0,,Dropping Timezones,Using Naïve Datetime Incorrectly,
Opentrons,opentrons,bug: HTTP API returns datetime strings without timezone info,391.0,0.5926222358,2711.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,String Parsing/Formatting (data),,1.0,2.0,2.0,1.0,,Outdated/Deprecated APIs,,
jdemaeyer,brightsky,Enforce ISO 8601 compliant timestamps,277.0,0.5899447714,3748.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),Datetime Construction,,3.0,2.0,2.0,2.0,encoding url queries incorrectly lead to wrong time outputs,Dropping Timezones,,
neo4j,neo4j-python-driver,[Feature Request] Deprecate pytz,877.0,0.5890749886,4567.0,1.0,0.0,0.0,,,,,,,,,,,,,,
adamchainz,time-machine,datetime.datetime.utcnow() should not have tzinfo,618.0,0.5885657281,1281.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,1.0,1.0,INTERESTING - reverse deprecated issue,Using Naïve Datetime Incorrectly,Dropping Timezones,
sdispater,pendulum,Off-by-one microsecond when parsing with certain timezones,6109.0,0.5856069094,4890.0,1.0,0.0,1.0,,String Representation,Timestamps,Datetime Construction,String Parsing/Formatting (data),,3.0,1.0,3.0,3.0,INTERESTING,Precision of Representation,,
dateutil,dateutil,tzname() inconsistent between tzwin() and tzwinlocal() and neither reflect actual DST.,2266.0,0.5833259673,4932.0,1.0,0.0,0.0,,Timezone,DST,Querying Datetime Components,Datetime Construction,,2.0,2.0,4.0,3.0,,Library Bug,Adding Support for New Features,
jazzband,djangorestframework-simplejwt,DeprecationWarning: datetime.datetime.utcnow() is deprecated,3867.0,0.5816509928,1253.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
sdispater,pendulum,"Timezone is empty on Windows 10 bash shell, causing error while unpickling Pendulum objects",6109.0,0.5815114874,2158.0,1.0,0.0,1.0,,Timezone,,Querying Datetime Components,String Parsing/Formatting (data),,2.0,2.0,2.0,1.0,,Compatibility Issues,,
mage-ai,mage-ai,[BUG] Snowflake destination incorrect timezone information on UTC dates,7298.0,0.57788079,1832.0,1.0,0.0,1.0,,Timezone,,Timestamp/Hash Construction,,,1.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
python-humanize,humanize,naturaltime should support timezone-aware datetimes,395.0,0.5773365263,1069.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (humanized),,,1.0,2.0,1.0,2.0,using naive datetimes breaks the code,Using Naïve Datetime Incorrectly,,
rpy2,rpy2,Time shift with converting to pandas time series when time zone other than GMT,517.0,0.5713758527,1736.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,Datetime Construction,,1.0,2.0,2.0,1.0,,Using Naïve Datetime Incorrectly,,
twintproject,twint,Elasticsearch calculation for HOUR and Day,15621.0,0.5692844519,2132.0,1.0,0.0,0.0,,Timestamps,,Datetime Construction,Querying Datetime Components,,1.0,2.0,1.0,1.0,,Precision of Representation,,
kiorky,croniter,Folding time when transitioning out of DST is not considered,355.0,0.5644262298,1563.0,1.0,0.0,0.0,,Fold,DST,Datetime Construction,Datetime Arithmetic,,3.0,3.0,4.0,3.0,INTERESTING,Crossing DST boundaries,Creating time in unspecified fold,
browser-history,browser-history,[TESTS] test_browsers_* outcome is timezone-dependent,153.0,0.562430549,15600.0,1.0,0.0,0.0,,Timezone,DST,Datetime Construction,Datetime Equality,,2.0,1.0,2.0,2.0,,Using Naïve Datetime Incorrectly,Crossing DST boundaries,
snowflakedb,snowflake-connector-python,SNOW-499493: Some interval math off by one microsecond for years beyond ~2250,565.0,0.5583135765,3419.0,1.0,0.0,1.0,,,,,,,,,,,,,,
KoffeinFlummi,Chronyk,relative month parsing fails when target month has fewer days than the current date,344.0,0.5531081467,1670.0,1.0,0.0,0.0,,Date,String Representation,String Parsing/Formatting (humanized),String Parsing/Formatting (data),,2.0,2.0,2.0,2.0,,Unintuitive Arithmetic,OOB Datetimes,
agronholm,apscheduler,Standard tzinfo is not enough for apscheduler,5869.0,0.5483520289,12031.0,1.0,0.0,0.0,,Timezone,,Library Conversions,Datetime Construction,,1.0,3.0,2.0,2.0,,Adding Support for New Libraries,,
ranaroussi,yfinance,Ticker.history() start and end datetime doesn't account for timezones,12242.0,0.5460838778,1339.0,1.0,0.0,0.0,,Timestamps,,Timestamp/Hash Construction,,,2.0,2.0,1.0,1.0,,Unintuitive Arithmetic,Dropping Timezones,
nextcord,nextcord,datetime.datetime.utcnow is deprecated in Python 3.12,1145.0,0.5450500429,1168.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,1.0,1.0,,Outdated/Deprecated APIs,,
model-bakers,model_bakery,seq doesn't work for timezone aware datetime objects,806.0,0.5443551003,1955.0,1.0,0.0,0.0,,Timezone,,Datetime Arithmetic,Timestamp/Hash Construction,Delta Construction,1.0,2.0,2.0,1.0,,Using Naïve Datetime Incorrectly,,
aws,aws-sdk-pandas,Unexpected exception `TypeError: 'NoneType' object is not subscriptable` reading parquet files with timezone aware timestamps,3834.0,0.541965309,2215.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),,,1.0,3.0,2.0,2.0,,Using Naïve Datetime Incorrectly,,
meteostat,meteostat-python,`Hourly` attempts to fetch data of next year,379.0,0.5385583466,2875.0,1.0,0.0,0.0,,,,,,,,,,,,,,
scrapinghub,dateparser,Returned datetime skips a day with time+timezone input and PREFER_DATES_FROM = 'future',2480.0,0.5368515631,5721.0,1.0,0.0,0.0,,Timezone,String Representation,Replacing/Rounding Datetime Components,String Parsing/Formatting (data),,2.0,2.0,2.0,2.0,,Using Naïve Datetime Incorrectly,,
BittyTax,BittyTax,"bug: GMT, BST are not the same as Europe/London",407.0,0.5349894054,1541.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,2.0,2.0,1.0,1.0,,Typo,,
dateutil,dateutil,tzwin for the same timezone string does not compare equal,2266.0,0.5328494159,1188.0,1.0,0.0,0.0,,Timezone,,Timezone Equality,,,2.0,2.0,2.0,1.0,,Comparing Timezones,,
dateutil,dateutil,"AttributeError when strftime argument includes ""%Z"" for datetime.time",2266.0,0.5290038546,1327.0,1.0,0.0,0.0,,Timezone,,String Parsing/Formatting (data),Datetime Construction,,2.0,2.0,2.0,1.0,,Incorrect Format Assumptions,,
sqlalchemy,sqlalchemy,"Implement mapping to MSSQL ""DateTimeOffset"" type when using SQLAlchemy generic type Datetime(Timezone=True)",9045.0,0.5243776735,1256.0,1.0,0.0,0.0,,Timezone,,Library Conversions,Datetime Construction,,2.0,2.0,3.0,2.0,,Using Naïve Datetime Incorrectly,Adding Support for New Features,
Couchers-org,couchers,Timezone issues in DB,355.0,0.5236403226,6243.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,Datetime Comparison,,1.0,3.0,2.0,1.0,,Using Naïve Datetime Incorrectly,,
dateutil,dateutil,dateutil does not accept a dt argument of None,2266.0,0.5224267405,1566.0,1.0,0.0,0.0,,Timezone,,Querying Datetime Components,,,1.0,2.0,4.0,3.0,,Incorrect Format Assumptions,,
graphql-python,graphene,[Enhancement] DateTime inputs should accept Python datetimes,8006.0,0.5215769027,1387.0,1.0,0.0,0.0,,,,,,,,,,,,,,
sdispater,pendulum,Interprets 2 digit year 85 as 2085 instead of 1985,6109.0,0.5210428648,1601.0,1.0,0.0,1.0,,Date,String Representation,String Parsing/Formatting (data),,,1.0,2.0,2.0,1.0,INTERESTING,Unintuitive Arithmetic,Precision of Representation,OOB Datetimes
sdispater,pendulum,"Inconsistency with 'parse(""13:00"")' depending if Pendulum is built with C extensions or not",6109.0,0.5203829295,1672.0,1.0,0.0,1.0,,String Representation,,String Parsing/Formatting (humanized),Datetime Construction,,2.0,3.0,2.0,2.0,pendulum's parsing is wrong,Precision of Representation,,
ranaroussi,yfinance,Issue with DateTime index in yf.download,12242.0,0.5179997578,2992.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),Datetime Construction,Datetime Arithmetic,2.0,2.0,2.0,1.0,,Precision of Representation,,
zulip,zulip,Naive datetime warnings in populate_db,20271.0,0.5131649887,2537.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,Library Conversions,,1.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
pydantic,pydantic,Pydantic TzInfo(UTC) != datetime.UTC,19350.0,0.5128671556,5200.0,1.0,0.0,0.0,,Timezone,,Timezone Equality,Datetime Construction,,1.0,1.0,2.0,2.0,,Comparing Timezones,,
jborean93,smbprotocol,OverflowError when parsing timestamp header.,302.0,0.5124121136,1676.0,1.0,0.0,0.0,,Timestamps,,Timestamp/Hash Construction,String Parsing/Formatting (data),,2.0,2.0,3.0,2.0,,OOB Timestamps,,
snooze92,alfred-epoch-converter,Guard against system bad timezone,154.0,0.5116369134,1457.0,1.0,0.0,0.0,,Timezone,DST,Datetime Arithmetic,Delta Arithmetic,Timezone Conversions,2.0,2.0,2.0,2.0,,Using Naïve Datetime Incorrectly,Library Bug,
agronholm,apscheduler,One-off job incorrectly scheduled if scheduler timezone different from system timezone,5869.0,0.5081901638,2368.0,1.0,0.0,0.0,,,,,,,,,,,,,,
sdispater,pendulum,RecursionError when add or subtract-ing with a fixed offset timezone,6109.0,0.506924129,6459.0,1.0,0.0,1.0,,Timezone,,Datetime Arithmetic,Timezone Conversions,,1.0,3.0,1.0,2.0,,Library Bug,,
pallets-eco,flask-session,can't compare offset-naive and offset-aware datetimes,487.0,0.5059789004,1459.0,1.0,0.0,0.0,,Timezone,,Datetime Comparison,,,1.0,2.0,2.0,2.0,,Using Naïve Datetime Incorrectly,,
trinodb,trino-python-client,Timestamp with time zone not mapped correctly,302.0,0.5032186542,1677.0,1.0,0.0,0.0,,Timezone,String Representation,Datetime Construction,Timezone Conversions,String Parsing/Formatting (data),1.0,2.0,3.0,2.0,,Incorrect API usage,,
apache,airflow,datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12,35031.0,0.5018147482,4244.0,1.0,0.0,1.0,,Deprecated,,Datetime Construction,,,1.0,1.0,4.0,1.0,,Outdated/Deprecated APIs,,
eclecticiq,OpenTAXII,Timestamps are incorrectly stored when the database is running in a non-UTC timezone.,182.0,0.4984190305,1718.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,2.0,1.0,,Using Naïve Datetime Incorrectly,,
timvink,mkdocs-git-revision-date-localized-plugin,`timezone` appears not to work,177.0,0.4970041183,1179.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,1.0,2.0,1.0,1.0,,Typo,,
agronholm,apscheduler,Infinite loop in CalendarIntervalTrigger with UTC timezone,5869.0,0.4965091183,1557.0,1.0,0.0,0.0,,Timezone,,Datetime Equality,,,1.0,2.0,1.0,1.0,Interesting,Incorrect API usage,Dropping Timezones,
