nameWithOwner,owner,name,url,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount
TheAlgorithms/Python,TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,181304,Python,2024-06-12T15:09:26Z,2016-07-16T09:44:01Z,1451,43891,5927,58
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",162975,Python,2024-06-12T15:09:33Z,2023-03-16T09:21:07Z,2226,43159,1555,1084
jackfrued/Python-100-Days,jackfrued,Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,151594,Python,2024-06-12T14:49:35Z,2018-03-01T16:05:52Z,636,51516,6136,0
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,133515,Python,2024-06-12T15:03:48Z,2022-08-22T14:05:26Z,7455,25596,1040,4786
ytdl-org/youtube-dl,ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,129358,Python,2024-06-12T15:07:12Z,2010-10-31T14:35:07Z,26517,9725,2199,0
huggingface/transformers,huggingface,transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",127484,Python,2024-06-12T15:06:08Z,2018-10-29T13:56:00Z,14982,25268,1101,0
